name,header_image,OriginalGame,Description,Price,release_date
Operation Riptide,https://cdn.cloudflare.steamstatic.com/steam/apps/1766730/header.jpg?t=1633028982,Counter-Strike,Dive into Operation Riptide! New challenges await with new maps new game mode options and the all-new Private Queues!,12.75,2021-09-22
Condition Zero,https://images.igdb.com/igdb/image/upload/t_cover_big/co1tx3.png,Counter-Strike,Condition Zero is a First Person Shooter video game that is developed by Ritual Entertainment Turtle Rock Studios and Valve and published by Sierra Entertainment and Valve,6.49,2004-03-23
Modern Warfare,https://cdn.akamai.steamstatic.com/steam/apps/393080/header.jpg?t=1646764590,Call of Duty®,The Variety DLC Pack for Call of Duty: Modern Warfare Remastered includes four remastered multiplayer maps from the original game!,14.49,2019-07-22
Broken Fang,https://cdn.cloudflare.steamstatic.com/steam/apps/1490530/header.jpg?t=1632294093,Counter-Strike,Join the fight and take part in Operation Broken Fang. New challenges await with the all-new Retakes and the exclusive Broken Fang Premier,14.99,2020-12-04
Source,https://cdn.cloudflare.steamstatic.com/steam/apps/240/header.jpg?t=1602536047,Counter-Strike,Counter-Strike: Source blends Counter-Strike's award-winning teamplay action with the advanced technology of Source technology.,9.99,2004-11-01
The Resistance,https://support.activision.com/servlet/servlet.ImageServer?id=0150B000005f83A&oid=00DU0000000HMgw&lastMod=1516227319000,Call of Duty®,Make a final strike to the enemy's evil ambitions in three new Multiplayer maps: Excavation Airship and Chancellery.,14.49,2018-01-30
Frontline Fighters,https://mlmte3jbn7f1.i.optimole.com/T4VRF0w.JzrJ~5409a/w:218/h:150/q:auto/rt:fill/g:fp:0.5:0/https://www.gamezone.com/wp-content/uploads/2017/10/Plants-vs-zombies-gw2-218x150.jpg,Plants vs. Zombies GOTY Edition,Ready the Peashooters and prepare for the craziest funniest shooter in the universe: Plants vs. Zombies Frontline Fighters,9.99,2016-12-01
